"Unnamed: 0","annotation_id","annotator","comment_text","created_at","id","lead_time","likes","replies","sentiment","updated_at","video_id"
9785,15,"1","Doesn't your arms get tired from all this candy making? My hands would!","2025-01-04T13:20:02.956951Z",1104,11.158,0,0,"0","2025-01-04T13:20:02.956951Z","3x-sUsazQ90"
8919,16,"1","I swear Alisha's intros are literally the best","2025-01-04T13:20:09.239655Z",1105,4.996,1,0,"1","2025-01-04T13:20:09.239655Z","OudFElslbh4"
7540,17,"1","Nice you made it to trending","2025-01-04T13:20:15.535290Z",1106,5.258,0,0,"1","2025-01-04T13:20:15.535290Z","NoxKH_v8b-8"
2812,18,"1","http://www.caboodles.com/","2025-01-04T13:20:18.489924Z",1107,2.028,0,0,"0","2025-01-04T13:20:18.489924Z","2wxyDrfwlXQ"
5166,19,"1","F U S I O N","2025-01-04T13:20:24.164267Z",1108,4.281,0,0,"0","2025-01-04T13:20:24.164267Z","IMG0u0_cKNc"
3612,20,"1","You should do a wearable matte eyeshadow look Casey! 😍☺️","2025-01-04T13:20:27.920100Z",1109,2.828,0,0,"1","2025-01-04T13:20:27.920100Z","Rew50oYjRqA"
982,21,"1","*polite laughter*","2025-01-04T13:20:34.226833Z",1110,5.379,0,0,"0","2025-01-04T13:20:34.226833Z","Ayb_2qbZHm4"
8121,22,"1","This was uploaded 9/11 today.","2025-01-04T13:20:38.088050Z",1111,2.971,0,0,"-1","2025-01-04T13:20:38.088050Z","etn4P80K5WU"
2097,23,"1","it makes me happy to see them drowning, It's so incredible to know they tried to breathe and water filled their lungs and suffocated them painfully 🙂🙂","2025-01-04T13:20:57.166423Z",1112,18.037,1,3,"-1","2025-01-04T13:20:57.166423Z","B7YaMkCl3XA"
1010,24,"1","The next place would be in a MMA ring.","2025-01-04T13:21:02.541113Z",1113,3.768,0,0,"0","2025-01-04T13:21:02.542114Z","CsdzflTXBVQ"
1839,25,"1","What if hank pym was a sharer","2025-01-04T13:22:07.917578Z",1114,14.866,0,0,"0","2025-01-04T13:22:07.917578Z","UCrBICYM0yM"
3149,26,"1","Lol bruhh so what does it matter if soft haired guy has a hot wife. He can't enjoy her looks 😕","2025-01-04T13:22:13.850442Z",1115,4.618,0,0,"-1","2025-01-04T13:22:13.850442Z","JO7X9ZPoAp8"
1562,27,"1","you guys should eat you pets","2025-01-04T13:22:24.584843Z",1116,7.164,0,0,"-1","2025-01-04T13:22:24.584843Z","ZQK1F0wz6z4"
8672,28,"1","EVIL MORTY is in the new episode","2025-01-04T13:22:34.195278Z",1117,8.695,0,0,"0","2025-01-04T13:22:34.195278Z","oePt4JgdyZo"
7281,29,"1","What I wouldn't give to be that phone","2025-01-04T13:22:39.067019Z",1118,3.95,0,0,"0","2025-01-04T13:22:39.067019Z","ktl2mLsSq4o"
3522,30,"1","Wouldn't call this catastrophic","2025-01-04T13:22:59.171118Z",1119,18.504,0,0,"0","2025-01-04T13:22:59.171118Z","l_uNfGY3v8E"
7359,31,"1","iphone x","2025-01-04T13:23:01.780087Z",1120,1.663,0,0,"0","2025-01-04T13:23:01.780087Z","ktl2mLsSq4o"
7229,32,"1","I predicate this will be a meme like if u agree","2025-01-04T13:24:30.373284Z",1121,87.675,0,0,"0","2025-01-04T13:24:30.373284Z","O4pFdLJmG7M"
4847,33,"1","is it water proof?","2025-01-04T13:24:42.823274Z",1122,3.607,0,1,"0","2025-01-04T13:24:42.823274Z","62cWuFjzOgs"
1172,34,"1","Airhead challenges fake idiot","2025-01-04T13:24:47.729140Z",1123,2.86,0,0,"-1","2025-01-04T13:24:47.729140Z","l864IBj7cgw"
7771,35,"1","@0:52 haha send the wrong worms? nice one!","2025-01-04T13:24:52.590287Z",1124,3.643,0,0,"1","2025-01-04T13:24:52.590287Z","JsTptu56GM8"
2166,36,"1","She deserves a Kit Kat.","2025-01-04T13:24:55.822717Z",1125,2.18,0,0,"0","2025-01-04T13:24:55.822717Z","5ywKal6-anc"
9049,37,"1","unsinging. where is Liza ?","2025-01-04T13:24:59.304373Z",1126,2.531,0,0,"0","2025-01-04T13:24:59.304373Z","gQvHtXWlXDE"
1957,38,"1","Nicki Minaj rainha demais","2025-01-04T13:25:12.713869Z",1127,12.437,0,0,"0","2025-01-04T13:25:12.713869Z","-Ifnaxi2LQg"
8268,39,"1","Hahaha these videos are for losers. I've knows how to do these things since I was 12!","2025-01-04T13:25:20.462936Z",1128,4.898,0,0,"-1","2025-01-04T13:25:20.462936Z","B_CHjYoqPUU"
7673,40,"1","This was interesting till it got to the part where she was like  I am bi sexual, hsuwbsj sexual, jsjsjjei sexual and keisbd sexual","2025-01-04T13:25:27.255922Z",1129,5.934,0,0,"-1","2025-01-04T13:25:27.255922Z","aZkqHx5uri4"
8640,41,"1","I don;t know if narcissists are insecure but if they aren't, Rick definitely isn't one.","2025-01-04T13:25:35.942913Z",1130,7.464,0,0,"0","2025-01-04T13:25:35.942913Z","oePt4JgdyZo"
4835,42,"1","If i made a watch with a video cam and fm radio it would sell way better then the piece of crap isuck lol","2025-01-04T13:25:43.757751Z",1131,6.99,0,0,"-1","2025-01-04T13:25:43.757751Z","62cWuFjzOgs"
6038,43,"1","49ers fan here, Would have liked to see Tony compete these last couple years for a SuperBowl but I'm happy for him. He's taken too much punishment through the years but he's making for a great commentator as well.","2025-01-04T13:26:08.128712Z",1132,23.458,0,0,"0","2025-01-04T13:26:08.128712Z","eRDxDEhEgNY"
2888,44,"1","So are they expired? 😳","2025-01-04T13:26:13.924017Z",1133,4.832,0,0,"0","2025-01-04T13:26:13.924017Z","2wxyDrfwlXQ"
907,45,"1","That last bit with the questions is literally me every time I am in class...","2025-01-04T13:26:21.705016Z",1134,6.412,0,0,"0","2025-01-04T13:26:21.705016Z","Ayb_2qbZHm4"
7334,46,"1","this is why they should do metal only phones","2025-01-04T13:26:29.384000Z",1135,6.806,0,0,"0","2025-01-04T13:26:29.384000Z","ktl2mLsSq4o"
974,47,"1","ayyyyy fellow Bruins where u at?","2025-01-04T13:26:33.276474Z",1136,3.124,0,0,"0","2025-01-04T13:26:33.276474Z","Ayb_2qbZHm4"
0,48,"1","Logan Paul it's yo big day ‼️‼️‼️","2025-01-04T13:26:39.287837Z",1137,5.005,4,0,"1","2025-01-04T13:26:39.287837Z","XpVt6Z1Gjjo"
9114,49,"1","I love it :)","2025-01-04T13:26:41.763568Z",1138,1.245,0,0,"1","2025-01-04T13:26:41.763568Z","gQvHtXWlXDE"
9568,50,"1","wait Florida is a city?????","2025-01-04T13:26:45.298413Z",1139,2.615,0,1,"0","2025-01-04T13:26:45.298413Z","-cYk6sbe11c"
3194,51,"1","I wish they'd talk about beauty in general (flowers, rain, breezes, etc.) rather than what sighted people consider 'hot'. All the depth of a Kardashian conversation.","2025-01-04T13:26:56.299327Z",1140,9.758,0,2,"0","2025-01-04T13:26:56.299327Z","JO7X9ZPoAp8"
9021,52,"1","Love, love, LOVE the kristen Ess products!","2025-01-04T13:26:58.932866Z",1141,1.785,0,0,"1","2025-01-04T13:26:58.932866Z","gmXuUgB7T3Y"
4580,53,"1","Congrats Nile!!!","2025-01-04T13:27:01.428211Z",1142,1.547,0,0,"1","2025-01-04T13:27:01.428211Z","6vGg-jJl30A"
7207,54,"1","When your gf comes home from work and starts telling you about her day","2025-01-04T13:27:06.159995Z",1143,3.822,0,0,"0","2025-01-04T13:27:06.159995Z","O4pFdLJmG7M"
9579,55,"1","The thumb nail looks like my period","2025-01-04T13:27:12.178774Z",1144,5.154,0,1,"-1","2025-01-04T13:27:12.178774Z","-cYk6sbe11c"
5114,56,"1","Does anyone see the clown picture behind Link the whole episode.","2025-01-04T13:27:21.227805Z",1145,7.122,0,0,"0","2025-01-04T13:27:21.227805Z","eoArC99zm1M"
4960,57,"1","How can I get this music on my phone so that I can listen offline aswell?","2025-01-04T13:27:24.489556Z",1146,2.298,0,0,"0","2025-01-04T13:27:24.489556Z","eM_FR7I2Ttw"
9601,58,"1","No hate, but you obviously didn't buy it! You got it sent to you. Just saying!","2025-01-04T13:27:30.947533Z",1147,5.411,0,0,"0","2025-01-04T13:27:30.947533Z","Mq9dxmh6JiE"
9592,59,"1","I don't find anything wrong with your review don't understand why people got upset. Thanks for the review","2025-01-04T13:27:36.418167Z",1148,4.456,0,0,"0","2025-01-04T13:27:36.418167Z","Mq9dxmh6JiE"
2849,60,"1","I can smell it i have two of rhe exact deodorant teen spirit pink crush","2025-01-04T13:27:43.785665Z",1149,6.401,0,0,"0","2025-01-04T13:27:43.786666Z","2wxyDrfwlXQ"
3981,61,"1","aesthetically pleasing 😍❤","2025-01-04T13:27:47.143856Z",1150,2.407,0,0,"1","2025-01-04T13:27:47.143856Z","O78Lpo4ctSE"
1669,62,"1","Yoo, the Sonic drowning theme!","2025-01-04T13:27:52.185943Z",1151,4.014,0,0,"1","2025-01-04T13:27:52.185943Z","T_PuZBdT2iM"
4400,63,"1","Your skin is FLAWLESS","2025-01-04T13:28:04.994241Z",1152,11.844,0,0,"1","2025-01-04T13:28:04.994241Z","hQbeB0YXLhs"
2402,64,"1","He made his voice deeper at 2:40 in the 2nd quarter","2025-01-04T13:28:12.639110Z",1153,6.707,0,0,"0","2025-01-04T13:28:12.639110Z","EVp4-qjWVJE"
2030,65,"1","Maybe they should get rid of the whole dictator prob","2025-01-04T13:28:21.386786Z",1154,7.807,0,0,"-1","2025-01-04T13:28:21.386786Z","B7YaMkCl3XA"
5178,66,"1","Moral of the story: If two storms collide, you are fucked.","2025-01-04T13:28:26.765564Z",1155,4.431,1,0,"-1","2025-01-04T13:28:26.765564Z","IMG0u0_cKNc"
3181,67,"1","Well....The end was nice.","2025-01-04T13:28:31.572875Z",1156,2.362,0,0,"1","2025-01-04T13:28:31.572875Z","JO7X9ZPoAp8"
4227,68,"1","We want some *Little Tsonggos and Tsonggas*","2025-01-04T13:28:37.825198Z",1157,5.447,0,0,"0","2025-01-04T13:28:37.825198Z","zTjcPeb2Gwg"
761,69,"1","Sub to Xenolied for free smile more merchandise","2025-01-04T13:28:43.404303Z",1158,4.759,0,0,"0","2025-01-04T13:28:43.404303Z","_ANP3HR1jsM"
6065,70,"1","Do you have express written consent of the nfl?","2025-01-04T13:28:47.622565Z",1159,3.33,0,0,"0","2025-01-04T13:28:47.622565Z","eRDxDEhEgNY"
